id,user_id,action,resource_type,resource_id,details,ip_address,user_agent,created_at
538f8fa1-dad1-4422-b2d2-bbf65281237b,7c82547b-708e-42bb-bd07-56b3994fa160,login,,,"{""method"": ""email""}",,,2026-03-05 08:37:11.504272+00
e9310c4a-7e3f-44b7-89bd-c3e6da4cee81,7c82547b-708e-42bb-bd07-56b3994fa160,login,,,"{""method"": ""email""}",,,2026-03-05 09:28:29.527658+00
5d238ceb-b9b3-4af7-9a10-dba8cbd95477,7c82547b-708e-42bb-bd07-56b3994fa160,login,,,"{""method"": ""email""}",,,2026-03-05 09:52:20.336351+00
014eb2c1-7781-4dac-84cd-609f32dcedc3,97f64deb-e072-4c9f-9973-063db5e3acbc,login,,,"{""method"": ""email""}",,,2026-03-05 18:10:05.214701+00
0e0168d6-f1f3-4f54-848c-e71c70ee3359,97f64deb-e072-4c9f-9973-063db5e3acbc,login,,,"{""method"": ""email""}",,,2026-03-05 18:47:50.395113+00
79f261b1-c987-4b86-9a27-b7091e8d9d28,97f64deb-e072-4c9f-9973-063db5e3acbc,login,,,"{""method"": ""email""}",,,2026-03-05 18:48:24.934297+00
612983a2-dbd5-4ab8-9ea0-c75540b12d5d,97f64deb-e072-4c9f-9973-063db5e3acbc,login,,,"{""method"": ""email""}",,,2026-03-05 18:48:39.402878+00
2d5f3ea5-aff8-4804-a5c3-e90c8ab33de5,97f64deb-e072-4c9f-9973-063db5e3acbc,login,,,"{""method"": ""email""}",,,2026-03-05 18:51:50.881572+00
f534d7ba-88fc-4906-b2e7-034bf3a00a48,7c82547b-708e-42bb-bd07-56b3994fa160,login,,,"{""method"": ""email""}",,,2026-03-06 06:44:05.443531+00
dd220e9d-bf32-48b7-85ea-a0571e6b307c,97f64deb-e072-4c9f-9973-063db5e3acbc,login,,,"{""method"": ""email""}",,,2026-03-06 16:42:16.219167+00
443ffc66-fa15-4ba5-b9b7-a22791109522,97f64deb-e072-4c9f-9973-063db5e3acbc,login,,,"{""method"": ""email""}",,,2026-03-06 16:43:42.032499+00
