id,volunteer_id,event_name,date,hours,status,created_at,updated_at
7ce963b5-9d4b-48b8-adb0-b91b7b3abe84,749f232a-a31d-43f0-a818-0a96a4599aec,Spring Health Fair Setup,2026-06-14,4.0,Upcoming,2026-05-24 21:01:14.794466+00,2026-05-24 21:01:14.794466+00
d9a860ea-775d-4812-a1f2-3ae857c21196,749f232a-a31d-43f0-a818-0a96a4599aec,Annual Fundraising Gala,2026-04-20,6.0,Completed,2026-05-24 21:01:14.794466+00,2026-05-24 21:01:14.794466+00
9fdcb7ee-12a4-4f2c-bd93-672a15a50528,a20f7ef4-7d77-439a-8c90-3c396f670531,Summer Orientation,2026-07-12,4.0,Upcoming,2026-05-24 21:01:14.794466+00,2026-05-24 21:01:14.794466+00
30ed7fbe-b799-454d-9487-4aafbca4ad1d,a20f7ef4-7d77-439a-8c90-3c396f670531,Tech Infrastructure Day,2026-05-10,8.0,Completed,2026-05-24 21:01:14.794466+00,2026-05-24 21:01:14.794466+00
c9be13de-5d51-4b28-a778-df229ddf63ff,0116b28a-6404-47b6-a353-e4c4ea38dd63,Youth Tutoring Program - June,2026-06-07,3.0,Upcoming,2026-05-24 21:01:14.794466+00,2026-05-24 21:01:14.794466+00
e8a28236-c700-4e84-b0ff-e7bb2ea15fea,0116b28a-6404-47b6-a353-e4c4ea38dd63,Youth Tutoring Program - May,2026-05-03,3.0,Completed,2026-05-24 21:01:14.794466+00,2026-05-24 21:01:14.794466+00
d42d0a64-56f5-4724-abc7-d3f3323d1a8e,0116b28a-6404-47b6-a353-e4c4ea38dd63,Youth Tutoring Program - April,2026-04-05,3.0,Completed,2026-05-24 21:01:14.794466+00,2026-05-24 21:01:14.794466+00
5b87297a-4602-4599-b285-8223b0227c94,4a407023-50db-42be-99a8-55bd3bfd5853,Audit Prep Day,2026-03-22,5.5,Completed,2026-05-24 21:01:14.794466+00,2026-05-24 21:01:14.794466+00
c1bb04b5-2398-439c-8ff4-21c9803b1a44,84c5c3d1-5421-44ec-9433-de7e57d53b92,Grant Writing Workshop,2026-05-30,4.0,Completed,2026-05-24 21:01:14.794466+00,2026-05-24 21:01:14.794466+00
69489976-3567-42e7-8206-95dec36b0fd0,84c5c3d1-5421-44ec-9433-de7e57d53b92,Annual Fundraising Gala,2026-04-20,7.0,Completed,2026-05-24 21:01:14.794466+00,2026-05-24 21:01:14.794466+00
7bc0dd9c-a631-4cb2-9ecc-2d15d117f7e7,f537dde6-1396-4f23-aaa5-32bc1335cdeb,Annual Fundraising Gala,2026-04-20,8.0,Completed,2026-05-24 21:01:14.794466+00,2026-05-24 21:01:14.794466+00
f252bbb6-af7d-4137-a6c6-9b431d8e499c,28382bd1-2ab3-49a1-bb2f-1e9267a822f4,Summer Picnic Prep,2026-07-18,5.0,Upcoming,2026-05-24 21:01:14.794466+00,2026-05-24 21:01:14.794466+00
b57bab7d-5881-44f1-a4b3-38d7721bbd87,28382bd1-2ab3-49a1-bb2f-1e9267a822f4,Community Food Drive,2026-04-19,6.0,Completed,2026-05-24 21:01:14.794466+00,2026-05-24 21:01:14.794466+00
fb18cb0a-33a6-4fa2-836e-9985d54cb75a,28382bd1-2ab3-49a1-bb2f-1e9267a822f4,Community Food Drive,2026-03-15,6.0,Completed,2026-05-24 21:01:14.794466+00,2026-05-24 21:01:14.794466+00
f4070a26-67d6-40e8-aed4-2f6c59dd5e59,c6acce98-1e80-4751-9618-f1bdc53cb9ab,Social Media Takeover Day,2026-05-15,4.0,Completed,2026-05-24 21:01:14.794466+00,2026-05-24 21:01:14.794466+00
e0956fb7-fdec-4c20-8ff2-23bd1e4be6e2,8bef06fd-cd96-4ce9-8bab-23332204b6f0,Spring Gala Setup,2026-06-10,4,Completed,2026-06-15 17:01:47.213906+00,2026-06-15 17:01:47.213906+00
1b86ee90-0a7e-4eea-86f1-8442273db46e,8bef06fd-cd96-4ce9-8bab-23332204b6f0,Youth Mentorship Session,2026-06-22,2,Upcoming,2026-06-15 17:01:47.213906+00,2026-06-15 17:01:47.213906+00
5ff7759f-db02-4ced-851b-340ceeb908aa,cebbdf24-0cdf-47dc-8f42-6f2ac1f466ce,Community Health Fair,2026-05-25,6,Completed,2026-06-15 17:01:47.213906+00,2026-06-15 17:01:47.213906+00
c5685f3a-f719-4879-8778-9ec9b39dd4c6,cebbdf24-0cdf-47dc-8f42-6f2ac1f466ce,Summer Leadership Summit,2026-07-30,8,Upcoming,2026-06-15 17:01:47.213906+00,2026-06-15 17:01:47.213906+00
5b442746-e1c6-4d01-8195-4fd2c3a05fde,0e119d63-378c-466e-869e-b9b932195e9a,Tech Training Workshop,2026-06-01,3,Completed,2026-06-15 17:01:47.213906+00,2026-06-15 17:01:47.213906+00
c4b5ef29-9766-4f72-891c-9065f59fbe61,0e119d63-378c-466e-869e-b9b932195e9a,Community Dinner,2026-06-27,4,Upcoming,2026-06-15 17:01:47.213906+00,2026-06-15 17:01:47.213906+00
b04e98cc-9494-4a5d-8918-6253ee968223,1826d7a2-a053-4ecd-8fe6-ef3a71b9b0e5,Spring Gala,2026-06-10,6,Completed,2026-06-15 17:01:47.213906+00,2026-06-15 17:01:47.213906+00
98373416-0e3b-48a3-8b71-ec0acdc34c1d,1826d7a2-a053-4ecd-8fe6-ef3a71b9b0e5,Summer Leadership Summit,2026-07-30,8,Upcoming,2026-06-15 17:01:47.213906+00,2026-06-15 17:01:47.213906+00
