id,event_id,time,title,speaker_name,display_order,created_at
038a1f8c-c20b-45ff-b572-60f43e1c384a,2bb45d4f-1bc2-40dd-b956-d7c97800221f,6:00 PM,Cocktail Reception & Silent Auction,,1,2026-05-24 21:02:42.495869+00
7ef5fd0e-9626-49e7-aae1-b66aee86c7be,2bb45d4f-1bc2-40dd-b956-d7c97800221f,7:00 PM,Welcome & Opening Remarks,Dr. Amara Osei,2,2026-05-24 21:02:42.495869+00
5f9e9f05-1043-4a1c-aaa8-92254c4d38d5,2bb45d4f-1bc2-40dd-b956-d7c97800221f,7:15 PM,Keynote Address,Commissioner Janet Wu,3,2026-05-24 21:02:42.495869+00
0c509143-8cef-4ce7-89bc-cc77d10267c7,2bb45d4f-1bc2-40dd-b956-d7c97800221f,7:45 PM,Dinner Service,,4,2026-05-24 21:02:42.495869+00
cc9d0628-0d4d-41f3-b8a6-b4c7d349997c,2bb45d4f-1bc2-40dd-b956-d7c97800221f,8:30 PM,Impact Stories — A Program Alumnus Perspective,Marcus Reid,5,2026-05-24 21:02:42.495869+00
298c8ba2-1cc9-4d36-bc23-aa5ecd5d0c9f,2bb45d4f-1bc2-40dd-b956-d7c97800221f,9:00 PM,Fund-a-Need Appeal,Dr. Amara Osei,6,2026-05-24 21:02:42.495869+00
acfd625b-201f-4d7c-aa62-fb1408e43dae,2bb45d4f-1bc2-40dd-b956-d7c97800221f,9:30 PM,Live Auction & Dancing,,7,2026-05-24 21:02:42.495869+00
0f7f6928-9d15-4255-b5a8-91981c67faab,2bb45d4f-1bc2-40dd-b956-d7c97800221f,11:00 PM,Closing Remarks & Thank You,Dr. Amara Osei,8,2026-05-24 21:02:42.495869+00
0cce1591-7078-4996-9724-123433a44218,155e77c9-3d51-4e1f-bbc8-463fd68c4230,9:00 AM,Check-In & Breakfast,,1,2026-05-24 21:02:42.495869+00
1d66d0ad-57e8-4aeb-b1e7-e3cc05adb336,155e77c9-3d51-4e1f-bbc8-463fd68c4230,9:30 AM,Opening Keynote: Paths to Success,Keisha Owens,2,2026-05-24 21:02:42.495869+00
